variable,fuente,variable_origen,bloque,dimension,descripcion,unidad,denominador,justificacion,limitaciones
eph_ipcf_mediano,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,"Mediana del ingreso per capita familiar (IPCF) de las personas de la provincia, en pesos del trimestre. Ponderada por PONDIH (el ponderador de ingresos del hogar) y NO por PONDERA: el 27,5% de las personas tiene IPCF=0 por no declarar ingresos, y el INDEC ya las marca poniendoles PONDIH=0 (coincide en el 98,8% de los casos). Usando PONDERA esas personas entran con peso completo y un cero que no es un ingreso sino una no respuesta: asi Buenos Aires daba la mediana mas baja del pais (140.250) porque el 47,4% de la muestra de Partidos del GBA no declara ingresos.",pesos,poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_sin_dato_ingreso,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,% de personas sin dato de ingreso (PONDIH = 0). Es el denominador que falta del indicador anterior: sin esto no se sabe sobre que fraccion de la provincia se calculo la mediana.,proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_hacinamiento_critico,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,% de personas en hogares con mas de 3 personas por habitacion de uso exclusivo (IX_TOT / II1 > 3). Umbral estandar de hacinamiento critico.,proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_agua_fuera_vivienda,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,% de personas en hogares cuya agua no llega por cañeria dentro de la vivienda (IV6 = 2 o 3).,proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_desocupacion,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,"Desocupados sobre poblacion economicamente activa (ESTADO = 2 / (ESTADO = 1 o 2)). Excluye inactivos y menores de 10, que tienen codigos propios (3 y 4).",proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_adultos_sin_secundaria,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,"% de personas de 25 años o mas que no completo el secundario (NIVEL_ED 1, 2, 3 o 7).",proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_adolescentes_ocupados,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,% de personas de 12 a 18 años que estan ocupadas (ESTADO = 1).,proporcion (0 a 1),poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_casos_personas,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,Denominador del indicador correspondiente.,casos,poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_casos_hogares,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,Denominador del indicador correspondiente.,casos,poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_casos_12_18,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,Denominador del indicador correspondiente.,casos,poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
eph_aglomerados,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",,contexto socioeconomico,contexto,Denominador del indicador correspondiente.,casos,poblacion de la provincia (ver descripcion),"Aporta el contexto socioeconomico que Aprender no tiene, al unico nivel geografico donde las dos fuentes se encuentran.",Es un valor provincial: TODOS los departamentos de una provincia comparten el mismo numero.
educ_madre_arm__sin_primaria,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre (recodificada)_sin_primaria,educ_madre_arm,hogar,"Maximo nivel educativo COMPLETADO por la madre, en la escala comun de 4 niveles acordada con la EPH. Categoria: sin primaria.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre_arm' (ver cob__educ_madre_arm),"Cumple el criterio de aceptacion de armonizar las categorias equivalentes entre fuentes. Habilita comparar contra eph_educ_adultos__*, que es la unica validacion empirica que tenemos del puente geografico (correlacion 0,674 entre ambas).","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre_arm__primaria,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre (recodificada)_primaria,educ_madre_arm,hogar,"Maximo nivel educativo COMPLETADO por la madre, en la escala comun de 4 niveles acordada con la EPH. Categoria: primaria.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre_arm' (ver cob__educ_madre_arm),"Cumple el criterio de aceptacion de armonizar las categorias equivalentes entre fuentes. Habilita comparar contra eph_educ_adultos__*, que es la unica validacion empirica que tenemos del puente geografico (correlacion 0,674 entre ambas).","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre_arm__secundaria,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre (recodificada)_secundaria,educ_madre_arm,hogar,"Maximo nivel educativo COMPLETADO por la madre, en la escala comun de 4 niveles acordada con la EPH. Categoria: secundaria.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre_arm' (ver cob__educ_madre_arm),"Cumple el criterio de aceptacion de armonizar las categorias equivalentes entre fuentes. Habilita comparar contra eph_educ_adultos__*, que es la unica validacion empirica que tenemos del puente geografico (correlacion 0,674 entre ambas).","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_madre_arm__superior,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Madre (recodificada)_superior,educ_madre_arm,hogar,"Maximo nivel educativo COMPLETADO por la madre, en la escala comun de 4 niveles acordada con la EPH. Categoria: superior.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_madre_arm' (ver cob__educ_madre_arm),"Cumple el criterio de aceptacion de armonizar las categorias equivalentes entre fuentes. Habilita comparar contra eph_educ_adultos__*, que es la unica validacion empirica que tenemos del puente geografico (correlacion 0,674 entre ambas).","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre_arm__sin_primaria,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre (recodificada)_sin_primaria,educ_padre_arm,hogar,"Maximo nivel educativo COMPLETADO por el padre, en la escala comun de 4 niveles. Categoria: sin primaria.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre_arm' (ver cob__educ_padre_arm),Idem educ_madre_arm.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre_arm__primaria,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre (recodificada)_primaria,educ_padre_arm,hogar,"Maximo nivel educativo COMPLETADO por el padre, en la escala comun de 4 niveles. Categoria: primaria.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre_arm' (ver cob__educ_padre_arm),Idem educ_madre_arm.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre_arm__secundaria,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre (recodificada)_secundaria,educ_padre_arm,hogar,"Maximo nivel educativo COMPLETADO por el padre, en la escala comun de 4 niveles. Categoria: secundaria.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre_arm' (ver cob__educ_padre_arm),Idem educ_madre_arm.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
educ_padre_arm__superior,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",Nivel_Ed_Padre (recodificada)_superior,educ_padre_arm,hogar,"Maximo nivel educativo COMPLETADO por el padre, en la escala comun de 4 niveles. Categoria: superior.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'educ_padre_arm' (ver cob__educ_padre_arm),Idem educ_madre_arm.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
eph_educ_adultos__sin_primaria,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",NIVEL_ED (recodificada),educ_adultos_arm,contexto,"Proporcion de personas de 25 años o mas de la provincia cuyo maximo nivel completado es 'sin primaria', en la escala comun de 4 niveles.",proporcion (0 a 1),"personas de 25+ de la provincia, ponderadas",Contraparte de educ_madre_arm / educ_padre_arm en la escala comun. Sirve para contrastar las dos fuentes sobre un mismo concepto.,"Mide a TODOS los adultos de la provincia, no a los padres de los estudiantes evaluados: son poblaciones distintas y la comparacion es de contexto."
eph_educ_adultos__primaria,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",NIVEL_ED (recodificada),educ_adultos_arm,contexto,"Proporcion de personas de 25 años o mas de la provincia cuyo maximo nivel completado es 'primaria', en la escala comun de 4 niveles.",proporcion (0 a 1),"personas de 25+ de la provincia, ponderadas",Contraparte de educ_madre_arm / educ_padre_arm en la escala comun. Sirve para contrastar las dos fuentes sobre un mismo concepto.,"Mide a TODOS los adultos de la provincia, no a los padres de los estudiantes evaluados: son poblaciones distintas y la comparacion es de contexto."
eph_educ_adultos__secundaria,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",NIVEL_ED (recodificada),educ_adultos_arm,contexto,"Proporcion de personas de 25 años o mas de la provincia cuyo maximo nivel completado es 'secundaria', en la escala comun de 4 niveles.",proporcion (0 a 1),"personas de 25+ de la provincia, ponderadas",Contraparte de educ_madre_arm / educ_padre_arm en la escala comun. Sirve para contrastar las dos fuentes sobre un mismo concepto.,"Mide a TODOS los adultos de la provincia, no a los padres de los estudiantes evaluados: son poblaciones distintas y la comparacion es de contexto."
eph_educ_adultos__superior,"EPH INDEC, 3er trimestre 2025 (bases Hogar e Individual)",NIVEL_ED (recodificada),educ_adultos_arm,contexto,"Proporcion de personas de 25 años o mas de la provincia cuyo maximo nivel completado es 'superior', en la escala comun de 4 niveles.",proporcion (0 a 1),"personas de 25+ de la provincia, ponderadas",Contraparte de educ_madre_arm / educ_padre_arm en la escala comun. Sirve para contrastar las dos fuentes sobre un mismo concepto.,"Mide a TODOS los adultos de la provincia, no a los padres de los estudiantes evaluados: son poblaciones distintas y la comparacion es de contexto."
clima_escolar_calidad,"derivada (etapa 08, curacion)",,calidad,calidad,"Se conservan las tres columnas clima_escolar__* sin modificar y se agrega una columna con tres estados: 'ok', 'cobertura_baja' y 'sin_dato'. Permite repetir cualquier analisis excluyendo las filas flojas y comprobar si el resultado cambia.",categorica (ok / cobertura_baja / sin_dato),,"El problema NO es aleatorio. La cobertura mediana cae de 0,921 en el quintil de grupos mas grandes a 0,722 en el mas chico, y por ambito va de 0,921 urbano a 0,744 rural: 155 de las 187 filas afectadas son rurales. Es decir que el clima escolar esta peor medido justo en las escuelas rurales chicas, que son las de mayor riesgo de abandono. Un modelo que use esta variable va a tener menos informacion precisamente donde mas la necesita, y eso hay que poder decirlo, no descubrirlo despues.","Es el unico bloque con problemas de cobertura: los otros 15 estan entre 0,98 y 1,00. Tiene 96 filas sin ningun dato y 91 con el dato calculado sobre menos de la mitad de los estudiantes de la fila. Los dos conjuntos son disjuntos, asi que son 187 filas (15,9%) y 9.808 estudiantes (1,8%)."
es_agregado_provincial,"derivada (etapa 08, curacion)",,calidad,territorio,"Se conservan las 63 filas y se agrega una columna booleana que las identifica. Un analisis por departamento filtra es_agregado_provincial == False; uno por provincia usa todas, que es donde estas filas SI suman bien y donde sacarlas romperia los totales contra la fuente.",booleano,,"Rompe el significado de la clave territorial. Si el mismo texto aparece en 23 jurisdicciones, esas filas no son un departamento: son el agregado de los departamentos chicos de cada provincia. Nada avisaba: el chequeo de duplicados da 0 porque cada combinacion jurisdiccion + Enmascarado + sector + ambito es unica, y el de formato tampoco lo veia porque 'Enmascarado' esta bien escrito. Quien agrupe por departamento sin saberlo va a mezclar 23 provincias bajo un mismo nombre.","63 filas de 1.174 tienen departamento = 'Enmascarado', en 23 de las 24 jurisdicciones, con 10.444 estudiantes (1,9%). El Ministerio enmascara el nombre cuando el grupo es tan chico que identificaria a la escuela."
